kernel,plan_id,isa,reduction,unroll,tail,control,size,distribution,correct,median_ns,speedup_vs_orig
k18_all_equal,28,AVX2,MovemaskPopcount,U2,NarrowerVector,EarlyExit,4096,all_equal,1,26.7,0.128
k18_all_equal,28,AVX2,MovemaskPopcount,U2,NarrowerVector,EarlyExit,65536,all_equal,1,529.7,0.159
k18_all_equal,29,AVX2,MovemaskPopcount,U4,Scalar,FullReduction,64,random,1,1.4,0.564
k18_all_equal,29,AVX2,MovemaskPopcount,U4,Scalar,FullReduction,256,random,1,1.5,0.110
k18_all_equal,29,AVX2,MovemaskPopcount,U4,Scalar,FullReduction,4096,random,1,1.5,0.007
k18_all_equal,29,AVX2,MovemaskPopcount,U4,Scalar,FullReduction,65536,random,1,1.5,0.000
k18_all_equal,29,AVX2,MovemaskPopcount,U4,Scalar,FullReduction,64,all_equal,1,7.7,3.020
k18_all_equal,29,AVX2,MovemaskPopcount,U4,Scalar,FullReduction,256,all_equal,1,1.6,0.122
k18_all_equal,29,AVX2,MovemaskPopcount,U4,Scalar,FullReduction,4096,all_equal,1,26.0,0.125
k18_all_equal,29,AVX2,MovemaskPopcount,U4,Scalar,FullReduction,65536,all_equal,1,506.7,0.151
k18_all_equal,30,AVX2,MovemaskPopcount,U4,Scalar,EarlyExit,64,random,1,1.4,0.562
k18_all_equal,30,AVX2,MovemaskPopcount,U4,Scalar,EarlyExit,256,random,1,1.5,0.110
k18_all_equal,30,AVX2,MovemaskPopcount,U4,Scalar,EarlyExit,4096,random,1,1.5,0.007
k18_all_equal,30,AVX2,MovemaskPopcount,U4,Scalar,EarlyExit,65536,random,1,1.5,0.000
k18_all_equal,30,AVX2,MovemaskPopcount,U4,Scalar,EarlyExit,64,all_equal,1,7.7,3.013
k18_all_equal,30,AVX2,MovemaskPopcount,U4,Scalar,EarlyExit,256,all_equal,1,1.8,0.136
