kernel,distribution,size_bytes,candidate,correct,median_ns,min_ns,mad_ns,ci_lo_ns,ci_hi_ns,cycles_per_elem,speedup_vs_orig
k18_all_equal,mismatch_mid,64,scalar,1,17.4,17.3,0.1,17.3,17.6,0.87,3.941
k18_all_equal,mismatch_mid,64,chunked,1,5.0,4.9,0.0,4.9,5.1,0.25,1.124
k18_all_equal,mismatch_mid,64,sse2,1,2.5,2.5,0.0,2.5,2.6,0.12,0.558
k18_all_equal,mismatch_mid,64,avx2,1,1.6,1.6,0.0,1.6,1.8,0.08,0.359
k18_all_equal,mismatch_mid,64,multi,1,1.4,1.4,0.0,1.4,1.5,0.07,0.325
k18_all_equal,mismatch_mid,65,orig,1,4.5,4.4,0.1,4.4,4.7,0.22,1.000
k18_all_equal,mismatch_mid,65,scalar,1,17.3,17.1,0.0,17.1,17.5,0.85,3.830
k18_all_equal,mismatch_mid,65,chunked,1,5.1,5.0,0.0,5.0,5.8,0.25,1.123
k18_all_equal,mismatch_mid,65,sse2,1,2.5,2.5,0.0,2.5,2.5,0.12,0.547
k18_all_equal,mismatch_mid,65,avx2,1,1.6,1.6,0.0,1.6,1.7,0.08,0.358
k18_all_equal,mismatch_mid,65,multi,1,1.5,1.5,0.0,1.5,1.6,0.07,0.334
k18_all_equal,mismatch_mid,256,orig,1,17.0,16.9,0.0,16.9,18.2,0.21,1.000
k18_all_equal,mismatch_mid,256,scalar,1,41.9,41.8,0.1,41.8,42.3,0.52,2.467
k18_all_equal,mismatch_mid,256,chunked,1,9.5,9.4,0.0,9.4,10.2,0.12,0.557
k18_all_equal,mismatch_mid,256,sse2,1,4.4,4.4,0.0,4.4,4.5,0.06,0.259
k18_all_equal,mismatch_mid,256,avx2,1,3.3,3.2,0.0,3.2,3.4,0.04,0.192
k18_all_equal,mismatch_mid,256,multi,1,3.1,3.0,0.0,3.0,3.2,0.04,0.180
k18_all_equal,mismatch_mid,4096,orig,1,270.3,268.0,1.1,268.0,299.9,0.21,1.000
k18_all_equal,mismatch_mid,4096,scalar,1,340.5,335.6,4.4,335.6,369.4,0.27,1.260
k18_all_equal,mismatch_mid,4096,chunked,1,69.0,68.8,0.1,68.8,69.6,0.05,0.255
k18_all_equal,mismatch_mid,4096,sse2,1,39.8,39.5,0.1,39.5,40.3,0.03,0.147
k18_all_equal,mismatch_mid,4096,avx2,1,22.7,22.7,0.0,22.7,23.6,0.02,0.084
k18_all_equal,mismatch_mid,4096,multi,1,22.6,22.5,0.0,22.5,23.0,0.02,0.084
k18_all_equal,mismatch_mid,65536,orig,1,4294.0,4284.7,5.3,4284.7,4336.9,0.21,1.000
k18_all_equal,mismatch_mid,65536,scalar,1,4012.2,3996.8,12.8,3996.8,4090.6,0.20,0.934
k18_all_equal,mismatch_mid,65536,chunked,1,772.1,764.6,1.4,764.6,778.7,0.04,0.180
k18_all_equal,mismatch_mid,65536,sse2,1,413.9,409.6,1.1,409.6,422.8,0.02,0.096
k18_all_equal,mismatch_mid,65536,avx2,1,214.9,213.1,0.6,213.1,218.6,0.01,0.050
