kernel,distribution,size_bytes,candidate,correct,median_ns,min_ns,mad_ns,ci_lo_ns,ci_hi_ns,cycles_per_elem,speedup_vs_orig
k43_sum_ascii,ascii,16,scalar,1,1.2,1.2,0.0,1.2,1.3,0.24,0.836
k43_sum_ascii,ascii,16,chunked,1,2.0,1.9,0.0,1.9,2.0,0.40,1.379
k43_sum_ascii,ascii,16,swar,1,2.2,2.1,0.0,2.1,2.3,0.44,1.524
k43_sum_ascii,ascii,16,sse2,1,1.2,1.2,0.0,1.2,1.3,0.25,0.859
k43_sum_ascii,ascii,16,avx2,1,1.3,1.2,0.0,1.2,1.4,0.26,0.917
k43_sum_ascii,ascii,16,multi,1,1.3,1.3,0.0,1.3,1.4,0.26,0.915
k43_sum_ascii,ascii,256,orig,1,7.4,7.3,0.0,7.3,7.6,0.09,1.000
k43_sum_ascii,ascii,256,scalar,1,7.7,7.5,0.1,7.5,8.0,0.10,1.041
k43_sum_ascii,ascii,256,chunked,1,5.0,4.9,0.0,4.9,5.6,0.06,0.675
k43_sum_ascii,ascii,256,swar,1,6.9,6.8,0.0,6.8,7.0,0.09,0.931
k43_sum_ascii,ascii,256,sse2,1,2.6,2.6,0.0,2.6,3.0,0.03,0.357
k43_sum_ascii,ascii,256,avx2,1,1.9,1.9,0.0,1.9,2.0,0.02,0.262
k43_sum_ascii,ascii,256,multi,1,1.9,1.8,0.0,1.8,2.0,0.02,0.259
k43_sum_ascii,ascii,4096,orig,1,112.5,111.9,0.3,111.9,113.4,0.09,1.000
k43_sum_ascii,ascii,4096,scalar,1,112.5,112.0,0.3,112.0,114.9,0.09,1.000
k43_sum_ascii,ascii,4096,chunked,1,70.8,70.6,0.1,70.6,72.4,0.06,0.629
k43_sum_ascii,ascii,4096,swar,1,106.0,105.8,0.2,105.8,108.5,0.08,0.942
k43_sum_ascii,ascii,4096,sse2,1,46.9,46.8,0.1,46.8,61.7,0.04,0.417
k43_sum_ascii,ascii,4096,avx2,1,26.9,26.7,0.2,26.7,27.9,0.02,0.239
k43_sum_ascii,ascii,4096,multi,1,26.8,26.7,0.0,26.7,27.3,0.02,0.238
